"latitude","longitude"
41.648708,-122.986397
34.608547,-117.338417
37.101215,-119.609955
37.103413,-119.607414
37.103691,-119.616219
34.095657,-117.533127
33.794128,-117.476822
34.095394,-117.528824
36.387199,-120.945564
36.387409,-120.953072
36.365707,-120.89827
36.651539,-121.002945
36.390034,-120.96183
36.649445,-121.001709
36.390415,-120.97921
36.394573,-120.968124
36.387871,-120.96962
36.388107,-120.97821
36.389854,-120.954002
36.396946,-120.969292
36.37249,-120.900497
36.397141,-120.977989
36.394825,-120.977036
36.372311,-120.894073
36.380512,-120.947327
36.381184,-120.971786
36.380733,-120.955353
36.38763,-120.961037
36.390224,-120.970543
33.636887,-116.221268
33.636612,-116.217728
41.659813,-121.624863
37.103367,-119.609589
37.102543,-119.606369
37.104164,-119.612717
38.072201,-122.140137
36.389942,-120.972092
36.386909,-120.95977
38.071053,-122.139534
37.882912,-121.187416
37.31559,-122.091133
36.64922,-120.997276
38.001549,-121.934067
36.383545,-120.967079
36.38509,-120.973373
36.374287,-120.908569
36.383717,-120.946815
36.385334,-120.953362
36.388443,-120.965981
38.015209,-122.114914
34.608116,-117.338455
34.607338,-117.338539
34.619526,-117.102203
35.892532,-119.257729
35.893459,-119.254013
36.069649,-119.125137
37.813244,-121.198662
36.37204,-120.89212
36.370071,-120.899529
36.371052,-120.895836
36.369068,-120.903297
36.374001,-120.907028
36.381382,-120.946312
36.384377,-120.957436
36.385689,-120.952477
36.387249,-120.96904
36.389923,-120.958923
36.38863,-120.963821
36.394062,-120.965736
36.389297,-120.957756
36.386566,-120.967842
36.387974,-120.962662
36.393436,-120.964455
36.364006,-120.900032
36.364986,-120.896355
36.365955,-120.892723
36.36692,-120.889091
38.217457,-121.137993
38.216362,-121.142136
38.241001,-120.09967
37.665005,-121.313271
39.436733,-122.110054
39.437534,-122.111923
38.244785,-122.443733
38.250275,-122.446083
38.999634,-121.456528
38.249393,-122.44223
39.709461,-122.154037
36.37249,-120.890251
36.392902,-120.959633
36.381618,-120.947525
36.381863,-120.942436
36.381378,-120.952377
36.392658,-120.964478
36.388039,-120.937828
36.387245,-120.95385
36.387005,-120.95874
36.369308,-120.88662
36.368786,-120.899086
36.387753,-120.943542
36.389729,-120.965508
36.389938,-120.960777
36.386768,-120.963509
36.386543,-120.96814
36.38364,-120.968948
36.384048,-120.959518
36.384262,-120.954689
36.383839,-120.964264
36.384472,-120.949738
36.38493,-120.939224
36.378799,-120.943474
36.37859,-120.948402
36.374825,-120.897232
36.374348,-120.908447
36.375061,-120.891655
36.371902,-120.902336
36.375271,-120.886627
36.368538,-120.905014
36.377712,-120.905525
36.382118,-120.937218
36.372952,-120.880577
36.372734,-120.885071
36.366142,-120.898148
36.366451,-120.891739
37.727619,-118.99691
37.727436,-119.004585
38.245651,-122.444748
38.458126,-121.911011
38.999401,-121.457268
38.219013,-120.376404
38.225182,-120.377205
34.605976,-117.337585
34.609249,-117.341499
39.50111,-122.185471
38.160278,-122.563499
38.070293,-122.137238
38.002777,-121.936417
40.73579,-122.322433
37.315811,-122.092087
39.908241,-120.832504
38.2384,-120.095001
38.239635,-120.101036
37.646099,-120.802101
37.7561,-121.659218
37.883507,-121.18499
37.646069,-120.801308
38.514332,-121.192184
37.943153,-122.39666
37.724632,-119.004745
37.728596,-119.003304
37.723637,-119.000214
